aardvark	rdvrk
country	cntry
county	cnty
couple	cpl
courage	crg
courageously	crgsly
courteously	crtsly
courtierly	crtrly
cousinly	csnly
couthily	cthly
covariate	cvrt
cover	cvr
coverall	cvrll
covertly	cvrtly
covetingly	cvtngly
covetously	cvtsly
covinously	cvnsly
cow	cw
cowardly	cwrdly
cowbell	cwbll
cowboy	cwby
cows	cws
coyly	cyly
cozeningly	cznngly
cozily	czly
crabbedly	crbbdly
crack	crck
cracker	crckr
crackers	crckrs
crackly	crckly
cradle	crdl
craft	crft
craftily	crftly
craftsman	crftsmn
craggily	crggly
cranially	crnlly
crankly	crnkly
crapulously	crplsly
crassly	crssly
crate	crt
cravat	crvt
cravenly	crvnly
cravingly	crvngly
crawdad	crwdd
crawly	crwly
crayfish	cryfsh
crayon	cryn
crazedly	crzdly
crazily	crzly
crazy	crzy
creakingly	crkngly
creamily	crmly
creative	crtv
creche	crch
credently	crdntly
credenza	crdnz
credibly	crdbly
credit	crdt
creditably	crdtbly
creditor	crdtr
credulously	crdlsly
creme brulee	crm brl
crenately	crntly
crest	crst
cretaceously	crtcsly
crew	crw
crib	crb
cribbage	crbbg
cribrately	crbrtly
cricket	crckt
cricketer	crcktr
crime	crm
criminal	crmnl
crimsonly	crmsnly
crinoline	crnln
cripply	crpply
crispily	crsply
criteria	crtr
criterion	crtrn
criticism	crtcsm
croakily	crkly
crocodile	crcdl
crocus	crcs
croissant	crssnt
crookedly	crkdly
crooningly	crnngly
cross	crss
crotch	crtch
croup	crp
croupily	crply
crowd	crwd
crowdedly	crwddly
crowingly	crwngly
crown	crwn
crozzly	crzzly
crucially	crclly
cruciately	crctly
crucily	crcly
crumbly	crmbly
crumply	crmply
crush	crsh
crusily	crsly
crustedly	crstdly
crustily	crstly
cry	cry
cryingly	cryngly
cubbishly	cbbshly
cubically	cbclly
cubicly	cbcly
cuckoo	cck
cucullately	cclltly
cucumber	ccmbr
cuddly	cddly
culinarily	clnrly
culpably	clpbly
cultivably	cltvbly
cultivar	cltvr
cultivator	cltvtr
culturally	cltrlly
culture	cltr
culvert	clvrt
cumbly	cmbly
cumbrously	cmbrsly
cummerbund	cmmrbnd
cumulately	cmltly
cumulatively	cmltvly
cunningly	cnnngly
cup	cp
cupboard	cpbrd
cupcake	cpck
curably	crbly
curatively	crtvly
curdly	crdly
curl	crl
curledly	crldly
curler	crlr
curliewurly	crlwrly
curlily	crlly
curlingly	crlngly
curly	crly
currency	crrncy
current	crrnt
currently	crrntly
currishly	crrshly
cursedly	crsdly
cursively	crsvly
cursor	crsr
cursorily	crsrly
curtailedly	crtldly
curtain	crtn
curtly	crtly
curve	crv
curvedly	crvdly
cushion	cshn
cussedly	cssdly
custard	cstrd
customarily	cstmrly
customer	cstmr
cutely	ctly
cuticle	ctcl
cutlet	ctlt
cutover	ctvr
cutting	cttng
cuttingly	cttngly
cyclamen	cyclmn
cycle	cycl
cyclone	cycln
cylinder	cylndr
cymbal	cymbl
cymbals	cymbls
cymosely	cymsly
cynic	cync
cynically	cynclly
cyst	cyst
cytoplasm	cytplsm
daffodil	dffdl
daffodilly	dffdlly
daftly	dftly
daggly	dggly
dahlia	dhl
daisy	dsy
damage	dmg
damageably	dmgbly
damagingly	dmgngly
damnably	dmnbly
damningly	dmnngly
damnously	dmnsly
dancer	dncr
dancing	dncng
dancingly	dncngly
dandically	dndclly
dandilly	dndlly
dandily	dndly
danger	dngr
dangerously	dngrsly
daniel	dnl
dankly	dnkly
dantophily	dntphly
dapperly	dpprly
dare	dr
dark	drk
darkly	drkly
darlingly	drlngly
dart	drt
dartingly	drtngly
dash	dsh
dashboard	dshbrd
dashedly	dshdly
dashingly	dshngly
dastardly	dstrdly
database	dtbs
datably	dtbly
datively	dtvly
daubingly	dbngly
daughter	dghtr
daughterly	dghtrly
dauntingly	dntngly
day	dy
daybed	dybd
dayfly	dyfly
dazedly	dzdly
dazingly	dzngly
deadishly	ddshly
deadlily	ddlly
deadline	ddln
deafeningly	dfnngly
deafly	dfly
deal	dl
dealer	dlr
dearly	drly
death	dth
deathfully	dthflly
deathly	dthly
deathwatch	dthwtch
debasingly	dbsngly
debatefully	dbtflly
debatingly	dbtngly
debauchedly	dbchdly
deboistly	dbstly
debonairly	dbnrly
decadally	dcdlly
decade	dcd
decadently	dcdntly
decanally	dcnlly
decanically	dcnclly
deceitfully	dctflly
deceivably	dcvbly
deceivingly	dcvngly
decemberly	dcmbrly
decennially	dcnnlly
decently	dcntly
deceptiously	dcptsly
deceptively	dcptvly
decidedly	dcddly
decidingly	dcdngly
deciduously	dcdsly
decimal	dcml
decimally	dcmlly
decision	dcsn
decisively	dcsvly
declaredly	dclrdly
declination	dclntn
decorably	dcrbly
decoratively	dcrtvly
decorously	dcrsly
decrease	dcrs
decrepitly	dcrptly
decretorily	dcrtrly
decryption	dcryptn
decursively	dcrsvly
decussately	dcsstly
dedication	ddctn
dedicatorily	ddctrly
deducibly	ddcbly
deductively	ddctvly
deedfully	ddflly
deedily	ddly
deep	dp
deepeningly	dpnngly
defacingly	dfcngly
defamingly	dfmngly
defectively	dfctvly
defense	dfns
defensibly	dfnsbly
defensively	dfnsvly
defiantly	dfntly
deficiently	dfcntly
deficit	dfct
defilingly	dflngly
definably	dfnbly
definedly	dfndly
definition	dfntn
definitively	dfntvly
deformation	dfrmtn
deformedly	dfrmdly
degenerately	dgnrtly
degradedly	dgrddly
deictically	dctclly
deistically	dstclly
dejectedly	djctdly
dejectly	djctly
delayingly	dlyngly
delectably	dlctbly
deliberately	dlbrtly
delicately	dlctly
deliciously	dlcsly
delight	dlght
deliriously	dlrsly
delivery	dlvry
deludingly	dldngly
delusively	dlsvly
demand	dmnd
dementedly	dmntdly
demiheavenly	dmhvnly
demissly	dmssly
demoniacally	dmnclly
demur	dmr
demurely	dmrly
den	dn
denim	dnm
denotatively	dnttvly
densely	dnsly
dentally	dntlly
dentately	dnttly
dentist	dntst
denumerably	dnmrbly
denyingly	dnyngly
deodorant	ddrnt
department	dprtmnt
departure	dprtr
dependably	dpndbly
dependent	dpndnt
deperditely	dprdtly
deplorably	dplrbly
deploredly	dplrdly
deployment	dplymnt
deposit	dpst
depravedly	dprvdly
depression	dprssn
depressive	dprssv
depth	dpth
deputatively	dpttvly
deputy	dpty
derby	drby
derelictly	drlctly
derisively	drsvly
derivably	drvbly
derivately	drvtly
derivatively	drvtvly
derivedly	drvdly
derogately	drgtly
derogatively	drgtvly
derogatorily	drgtrly
derrick	drrck
description	dscrptn
desert	dsrt
desertedly	dsrtdly
deservedly	dsrvdly
design	dsgn
designedly	dsgndly
designer	dsgnr
desirably	dsrbly
desire	dsr
desiredly	dsrdly
desiringly	dsrngly
desirously	dsrsly
desolately	dsltly
despicably	dspcbly
despoticly	dsptcly
dessert	dssrt
destiny	dstny
destitutely	dstttly
destroyer	dstryr
destruction	dstrctn
desultorily	dsltrly
detachably	dtchbly
detachedly	dtchdly
detail	dtl
detailedly	dtldly
detainingly	dtnngly
detainment	dtnmnt
detectably	dtctbly
detective	dtctv
detention	dtntn
determination	dtrmntn
detersively	dtrsvly
detestably	dtstbly
deucedly	dcdly
development	dvlpmnt
deviance	dvnc
devicefully	dvcflly
devil	dvl
devilishly	dvlshly
devily	dvly
deviously	dvsly
devotedly	dvtdly
devotionally	dvtnlly
devouringly	dvrngly
devoutly	dvtly
dew	dw
dexterously	dxtrsly
dextrally	dxtrlly
dhow	dhw
diabolically	dblclly
diadem	ddm
diagonally	dgnlly
dialectally	dlctlly
dialystely	dlystly
diametrally	dmtrlly
dianoetically	dntclly
diaphanously	dphnsly
diaphragm	dphrgm
diarist	drst
diatonically	dtnclly
dibble	dbbl
dickey	dcky
dictaphone	dctphn
diction	dctn
dictionary	dctnry
didascaly	ddscly
dietetically	dttclly
difference	dffrnc
differential	dffrntl
difficulty	dffclty
diffusedly	dffsdly
diffusely	dffsly
diffusibly	dffsbly
diffusively	dffsvly
digestedly	dgstdly
digestibly	dgstbly
digestion	dgstn
digestively	dgstvly
digger	dggr
digital	dgtl
digitally	dgtlly
digitately	dgttly
dignifiedly	dgnfdly
dignity	dgnty
dilapidation	dlpdtn
dilatably	dltbly
dilatingly	dltngly
dilatorily	dltrly
diligently	dlgntly
dill	dll
dilutedly	dltdly
dilutely	dltly
dime	dm
dimension	dmnsn
dimly	dmly
dimple	dmpl
diner	dnr
dinghy	dnghy
dingily	dngly
dinner	dnnr
dinnerly	dnnrly
dinosaur	dnsr
dinosaurs	dnsrs
dioeciously	dcsly
diploma	dplm
dipstick	dpstck
direction	drctn
directively	drctvly
directly	drctly
director	drctr
direfully	drflly
dirndl	drndl
disadvantage	dsdvntg
disagreeably	dsgrbly
disally	dslly
disarmament	dsrmmnt
disaster	dsstr
disavowedly	dsvwdly
discipline	dscpln
disco	dsc
discount	dscnt
discovery	dscvry
discreetly	dscrtly
discussion	dscssn
disdainly	dsdnly
disease	dss
diseasedly	dssdly
disguise	dsgs
disguisedly	dsgsdly
disgust	dsgst
dishes	dshs
dishwasher	dshwshr
disjointly	dsjntly
disk	dsk
disloyally	dslylly
dismally	dsmlly
disorderly	dsrdrly
disparately	dsprtly
dispiteously	dsptsly
display	dsply
disposedly	dspsdly
disposer	dspsr
disputably	dsptbly
disquietedly	dsqtdly
disquietly	dsqtly
dissembly	dssmbly
dissolutely	dssltly
dissuasively	dsssvly
distally	dstlly
distance	dstnc
distantly	dstntly
distribution	dstrbtn
distributor	dstrbtr
district	dstrct
diuretically	drtclly
diurnally	drnlly
divan	dvn
divaricately	dvrctly
diver	dvr
diversly	dvrsly
divertedly	dvrtdly
divide	dvd
dividedly	dvddly
divider	dvdr
dividingly	dvdngly
dividually	dvdlly
divinely	dvnly
diving	dvng
diviningly	dvnngly
divisibly	dvsbly
division	dvsn
divisionally	dvsnlly
divisively	dvsvly
dizzily	dzzly
docetically	dctclly
dock	dck
doctor	dctr
doctorially	dctrlly
doctorly	dctrly
document	dcmnt
dodgily	ddgly
doggedly	dggdly
doggishly	dggshly
dogly	dgly
dogs	dgs
dogsled	dgsld
dogwood	dgwd
dolefully	dlflly
dolently	dlntly
dolesomely	dlsmly
dollar	dllr
dollishly	dllshly
dolls	dlls
dolman	dlmn
dolphin	dlphn
doltishly	dltshly
domain	dmn
dominantly	dmnntly
donatively	dntvly
donkey	dnky
doorknob	drknb
doorpost	drpst
dorsally	drslly
dory	dry
dot	dt
dotardly	dtrdly
dotingly	dtngly
dottily	dttly
double	dbl
doubling	dblng
doubly	dbly
doubt	dbt
doubtably	dbtbly
doubtedly	dbtdly
doubter	dbtr
doucely	dcly
doughtily	dghtly
dowdily	dwdly
dowily	dwly
downforce	dwnfrc
downgrade	dwngrd
downily	dwnly
downtown	dwntwn
dozily	dzly
drably	drbly
draft	drft
draftily	drftly
drag	drg
draggily	drggly
dragon	drgn
dragonfly	drgnfly
dragster	drgstr
drain	drn
drama	drm
dramaturge	drmtrg
draw	drw
drawbridge	drwbrdg
drawer	drwr
drawing	drwng
drawly	drwly
dreadfully	drdflly
dreadingly	drdngly
dreadly	drdly
dreamfully	drmflly
dreamily	drmly
dreamingly	drmngly
dreamsily	drmsly
drearfully	drrflly
drearily	drrly
dredger	drdgr
dress	drss
dresser	drssr
dressily	drssly
dressing	drssng
drill	drll
drink	drnk
drinkably	drnkbly
drive	drv
driver	drvr
driveway	drvwy
driving	drvng
drivingly	drvngly
drizzle	drzzl
drizzly	drzzly
dromedary	drmdry
dronishly	drnshly
droopingly	drpngly
drop	drp
drowsily	drwsly
drubbly	drbbly
drummer	drmmr
drunkenly	drnknly
dryer	dryr
dryly	dryly
dubiously	dbsly
dubitatively	dbttvly
duckling	dcklng
ducks	dcks
ductilely	dctlly
dud	dd
duffel	dffl
dugout	dgt
dukely	dkly
dulcimer	dlcmr
dulwilly	dlwlly
duly	dly
dumbly	dmbly
dumbwaiter	dmbwtr
dump	dmp
dumpily	dmply
dumpishly	dmpshly
duncishly	dncshly
dune buggy	dn bggy
dungarees	dngrs
dungeon	dngn
dunghilly	dnghlly
duodecimally	ddcmlly
duopoly	dply
duplexer	dplxr
duringly	drngly
duskishly	dskshly
duskly	dskly
dust	dst
duster	dstr
dustily	dstly
duteously	dtsly
dutifully	dtflly
duty	dty
dwarf	dwrf
dwelling	dwllng
dyingly	dyngly
dynamo	dynm
e-book	-bk
e-reader	-rdr
eardrum	rdrm
earmuffs	rmffs
earnestly	rnstly
earplug	rplg
earrings	rrngs
earth	rth
earthquake	rthqk
earthworm	rthwrm
ease	s
easefully	sflly
east	st
eastwardly	stwrdly
eave	v
eavesdropper	vsdrppr
ebulliently	bllntly
ecclesia	ccls
eclipse	clps
ecliptic	clptc
ecologically	clgclly
economically	cnmclly
economics	cnmcs
economy	cnmy
ectally	ctlly
ectosteally	ctstlly
ecumenically	cmnclly
ecumenist	cmnst
eddy	ddy
edge	dg
edger	dgr
edgingly	dgngly
edifyingly	dfyngly
editor	dtr
editorial	dtrl
educationally	dctnlly
edward	dwrd
eel	l
effacement	ffcmnt
effective	ffctv
effectively	ffctvly
effectually	ffctlly
effeminately	ffmntly
efficaciously	ffccsly
efficacy	ffccy
efficiency	ffcncy
efficiently	ffcntly
effort	ffrt
effusively	ffsvly
egg	gg
egghead	gghd
eggnog	ggng
eggplant	ggplnt
eggs	ggs
egoistically	gstclly
egregiously	grgsly
eidently	dntly
eight	ght
eighthly	ghthly
ejectively	jctvly
ejector	jctr
elaborately	lbrtly
elastically	lstclly
elatedly	ltdly
elbow	lbw
elderly	ldrly
electively	lctvly
electorally	lctrlly
electricity	lctrcty
elegantly	lgntly
element	lmnt
elementally	lmntlly
elementarily	lmntrly
elephant	lphnt
elevatedly	lvtdly
elevatingly	lvtngly
elevator	lvtr
eleventhly	lvnthly
elfishly	lfshly
eligibly	lgbly
elixir	lxr
ellipse	llps
elm	lm
elongation	lngtn
eloquently	lqntly
elusively	lsvly
elvishly	lvshly
emanatively	mntvly
emboly	mbly
embossing	mbssng
embraceably	mbrcbly
emergence	mrgnc
emergency	mrgncy
emergent	mrgnt
emergently	mrgntly
emery	mry
emetically	mtclly
eminently	mnntly
emotionally	mtnlly
emotively	mtvly
empanoply	mpnply
emphasis	mphss
employee	mply
employer	mplyr
employment	mplymnt
empowerment	mpwrmnt
emptily	mptly
emu	m
emulatively	mltvly
emulously	mlsly
encyclopedia	ncyclpd
end	nd
endearedly	ndrdly
endemically	ndmclly
endosteally	ndstlly
endothelium	ndthlm
endurably	ndrbly
enduringly	ndrngly
enemy	nmy
energy	nrgy
enforcedly	nfrcdly
engagedly	nggdly
engagingly	nggngly
engine	ngn
engineer	ngnr
engineering	ngnrng
englacially	nglclly
englishly	nglshly
enigma	ngm
enjelly	njlly
enjoyably	njybly
enjoyingly	njyngly
enjoyment	njymnt
enlargedly	nlrgdly
enodally	ndlly
enormously	nrmsly
enquiry	nqry
enragedly	nrgdly
enteromegaly	ntrmgly
enthusiasm	nthssm
enticingly	ntcngly
entitatively	ntttvly
entomophily	ntmphly
entrance	ntrnc
entry	ntry
enunciatively	nnctvly
enviably	nvbly
enviously	nvsly
environment	nvrnmnt
envy	nvy
envyingly	nvyngly
epauliere	plr
epaxially	pxlly
ephemera	phmr
ephemerally	phmrlly
ephemeris	phmrs
epiboly	pbly
epically	pclly
epicly	pcly
epicurishly	pcrshly
epidemically	pdmclly
episcopally	pscplly
episodically	psdclly
epistolarily	pstlrly
epitomically	ptmclly
epochally	pchlly
eponym	pnym
epoxy	pxy
equably	qbly
equally	qlly
equanimously	qnmsly
equationally	qtnlly
equatorially	qtrlly
equilaterally	qltrlly
equinely	qnly
equinoctially	qnctlly
equinox	qnx
equinumerally	qnmrlly
equipment	qpmnt
equivalent	qvlnt
equivalently	qvlntly
equivocally	qvclly
erotically	rtclly
erratically	rrtclly
erroneously	rrnsly
error	rrr
eruptively	rptvly
escape	scp
escapingly	scpngly
espadrille	spdrll
espalier	splr
essay	ssy
essentially	ssntlly
estate	stt
estimably	stmbly
estimate	stmt
estrogen	strgn
estuary	stry
esuriently	srntly
eternally	trnlly
ethernet	thrnt
ethically	thclly
ethics	thcs
ethnically	thnclly
etiologically	tlgclly
eugenically	gnclly
euphemiously	phmsly
euphonically	phnclly
euphoniously	phnsly
euphonium	phnm
eurocentrism	rcntrsm
europeanly	rpnly
evadingly	vdngly
evaluator	vltr
evasively	vsvly
evening	vnng
evening-wear	vnng-wr
evenly	vnly
event	vnt
eventfully	vntflly
eventually	vntlly
eviction	vctn
evidence	vdnc
evidentially	vdntlly
evidently	vdntly
evincibly	vncbly
evincingly	vncngly
evolution	vltn
ex-husband	x-hsbnd
ex-wife	x-wf
exactly	xctly
exaltedly	xltdly
exam	xm
examination	xmntn
examiner	xmnr
examiningly	xmnngly
example	xmpl
exceedingly	xcdngly
exceptively	xcptvly
excessively	xcssvly
exchange	xchng
excitedly	xctdly
excitement	xctmnt
excitingly	xctngly
exclamation	xclmtn
exclusively	xclsvly
excursively	xcrsvly
excusably	xcsbly
excuse	xcs
excusefully	xcsflly
excusingly	xcsngly
execrably	xcrbly
execratively	xcrtvly
executively	xctvly
executor	xctr
exegetically	xgtclly
exemplarily	xmplrly
exercise	xrcs
exhaust	xhst
exhaustedly	xhstdly
exhaustively	xhstvly
exhibitively	xhbtvly
exigently	xgntly
exiguously	xgsly
exile	xl
eximiously	xmsly
existence	xstnc
existently	xstntly
exit	xt
exogenously	xgnsly
exoterically	xtrclly
expandedly	xpnddly
expansibly	xpnsbly
expansion	xpnsn
expansionism	xpnsnsm
expansively	xpnsvly
expectedly	xpctdly
expediently	xpdntly
expeditely	xpdtly
expeditiously	xpdtsly
experience	xprnc
expert	xprt
expertly	xprtly
expiringly	xprngly
explanation	xplntn
expletively	xpltvly
explicitly	xplctly
explosively	xplsvly
exposition	xpstn
expositively	xpstvly
expositorily	xpstrly
expression	xprssn
expressly	xprssly
exquisitely	xqstly
exquisitively	xqstvly
extendedly	xtnddly
extension	xtnsn
extensively	xtnsvly
extent	xtnt
exteriorly	xtrrly
external	xtrnl
externally	xtrnlly
extorsively	xtrsvly
extraneously	xtrnsly
extreme	xtrm
extremely	xtrmly
extricably	xtrcbly
extrorsely	xtrrsly
exuberantly	xbrntly
exultantly	xltntly
exultingly	xltngly
eyeball	ybll
eyebrow	ybrw
eyebrows	ybrws
eyeglasses	yglsss
eyelash	ylsh
eyelashes	ylshs
eyelid	yld
eyelids	ylds
eyeliner	ylnr
eyes	ys
eyestrain	ystrn
fabulously	fblsly
face	fc
facelift	fclft
facetely	fctly
facetiously	fctsly
facilely	fclly
facilities	fclts
facingly	fcngly
facsimile	fcsml
factitively	fcttvly
factor	fctr
factorially	fctrlly
factory	fctry
factually	fctlly
faculty	fclty
fadedly	fddly
fadingly	fdngly
faggingly	fggngly
fahrenheit	fhrnht
faintingly	fntngly
faintly	fntly
fairies	frs
faith	fth
faithfully	fthflly
fallaciously	fllcsly
fallibly	fllbly
falling-out	fllng-t
famelessly	fmlssly
familiar	fmlr
familiarly	fmlrly
family	fmly
famously	fmsly
fanatically	fntclly
fancifully	fncflly
fang	fng
fanlight	fnlght
farcically	frcclly
farinaceously	frncsly
farinosely	frnsly
farrandly	frrndly
farrantly	frrntly
fascia	fsc
fasciately	fsctly
fashionably	fshnbly
fastidiously	fstdsly
fastingly	fstngly
fastuously	fstsly
fatherly	fthrly
fatidically	ftdclly
fatigues	ftgs
fatiguingly	ftgngly
fatuously	ftsly
faucet	fct
faultfully	fltflly
faunally	fnlly
favorably	fvrbly
favoredly	fvrdly
favoringly	fvrngly
favosely	fvsly
fawn	fwn
fawningly	fwnngly
fearedly	frdly
fearfully	frflly
fearingly	frngly
fearlessly	frlssly
fearsomely	frsmly
feast	fst
feastfully	fstflly
feather	fthr
featurally	ftrlly
featurely	ftrly
feckfully	fckflly
feckly	fckly
fedelini	fdln
federally	fdrlly
federatively	fdrtvly
fedora	fdr
fee	f
feebly	fbly
feedback	fdbck
feeling	flng
feelingly	flngly
feignedly	fgndly
feigningly	fgnngly
felicitously	flctsly
felinely	flnly
feloniously	flnsly
felony	flny
female	fml
femalely	fmlly
femininely	fmnnly
fence	fnc
fencing	fncng
fender	fndr
ferinely	frnly
ferociously	frcsly
ferry	frry
ferryboat	frrybt
fertilely	frtlly
fertilizer	frtlzr
fervently	frvntly
fervidly	frvdly
fessely	fssly
festally	fstlly
festinately	fstntly
festivally	fstvlly
festively	fstvly
fetidly	ftdly
feudally	fdlly
feverishly	fvrshly
feverously	fvrsly
few	fw
fiber	fbr
fiberglass	fbrglss
fibrously	fbrsly
fiction	fctn
fictionally	fctnlly
fictitiously	fcttsly
fictively	fctvly
fiddle	fddl
fidgetily	fdgtly
fiducially	fdclly
fiduciarily	fdcrly
fiendfully	fndflly
fiendishly	fndshly
fiendly	fndly
fiercely	frcly
fifth	ffth
fifthly	ffthly
fight	fght
fighter	fghtr
figurately	fgrtly
figuratively	fgrtvly
figure	fgr
figuredly	fgrdly
figurine	fgrn
filially	fllly
fill	fll
fillingly	fllngly
filly	flly
filmily	flmly
filth	flth
filthily	flthly
final	fnl
finance	fnnc
financially	fnnclly
find	fnd
finding	fndng
fine	fn
finely	fnly
finger	fngr
fingernail	fngrnl
finically	fnclly
finickily	fnckly
finish	fnsh
finisher	fnshr
fir	fr
firefly	frfly
fireman	frmn
fireplace	frplc
firewall	frwll
firmly	frmly
fiscally	fsclly
fish	fsh
fishbone	fshbn
fisherman	fshrmn
fishery	fshry
fishily	fshly
fishing	fshng
fishingly	fshngly
fishmonger	fshmngr
fishnet	fshnt
fisting	fstng
fitfully	ftflly
fitly	ftly
fittily	fttly
fittingly	fttngly
fixedly	fxdly
fixture	fxtr
flabbily	flbbly
flaccidly	flccdly
flag	flg
flaggily	flggly
flagitiously	flgtsly
flakily	flkly
flame	flm
flamingly	flmngly
flanker	flnkr
flannelly	flnnlly
flaringly	flrngly
flash	flsh
flashily	flshly
flat	flt
flatboat	fltbt
flatly	fltly
flauntily	flntly
flavor	flvr
flax	flx
fleck	flck
fleece	flc
fleecily	flcly
fleshlily	flshlly
flexuously	flxsly
fleyedly	flydly
flight	flght
flightily	flghtly
flimsily	flmsly
flintlock	flntlck
floatingly	fltngly
floccosely	flccsly
flood	fld
floor	flr
floozie	flz
floppily	flpply
florally	flrlly
floridly	flrdly
flow	flw
flower	flwr
flowerily	flwrly
flowers	flwrs
flowingly	flwngly
flu	fl
fluffily	flffly
flugelhorn	flglhrn
fluidally	fldlly
fluidly	fldly
fluke	flk
flurriedly	flrrdly
fluxibly	flxbly
fluxionally	flxnlly
fly	fly
flyingly	flyngly
flytrap	flytrp
foam	fm
foamingly	fmngly
fob	fb
focus	fcs
fog	fg
foggily	fggly
foiningly	fnngly
foldedly	flddly
folder	fldr
foliously	flsly
following	fllwng
font	fnt
fontally	fntlly
food	fd
foolhardily	flhrdly
foot	ft
foot-rest	ft-rst
football	ftbll
footingly	ftngly
footnote	ftnt
footrest	ftrst
footstool	ftstl
foppishly	fppshly
foray	fry
force	frc
forcedly	frcdly
forcefully	frcflly
forcibly	frcbly
forcingly	frcngly
forearm	frrm
forebear	frbr
forecast	frcst
forehead	frhd
foreignly	frgnly
foremostly	frmstly
foreseeingly	frsngly
forest	frst
forestry	frstry
forever	frvr
forgery	frgry
forgivably	frgvbly
fork	frk
forkedly	frkdly
forlornly	frlrnly
formably	frmbly
formal	frml
formally	frmlly
format	frmt
formatively	frmtvly
former	frmr
formerly	frmrly
formidably	frmdbly
forsakenly	frsknly
fortnight	frtnght
fortress	frtrss
fortuitously	frttsly
fortunately	frtntly
fortune	frtn
forum	frm
foundation	fndtn
fountain	fntn
fountainously	fntnsly
foursquarely	frsqrly
fowl	fwl
fox	fx
foxglove	fxglv
foxily	fxly
frabjously	frbjsly
fractiously	frctsly
fragilely	frglly
fragrance	frgrnc
frailly	frlly
frankly	frnkly
franticly	frntcly
fratricide	frtrcd
fraudfully	frdflly
fraudster	frdstr
frayedly	frydly
frazzle	frzzl
freakily	frkly
freakishly	frkshly
freckle	frckl
freckly	frckly
freedom	frdm
freely	frly
freeplay	frply
freeze	frz
freezer	frzr
freezingly	frzngly
freight	frght
freighter	frghtr
fremdly	frmdly
frenchily	frnchly
frenziedly	frnzdly
freon	frn
frequently	frqntly
fresco	frsc
freshly	frshly
friarly	frrly
friction	frctn
fridge	frdg
friend	frnd
friendlily	frndlly
friendly	frndly
friends	frnds
friendship	frndshp
frigate	frgt
frigidly	frgdly
frillily	frllly
fringe	frng
friskily	frskly
frivolously	frvlsly
frizzly	frzzly
frock	frck
frog	frg
frogs	frgs
frolicly	frlcly
frondosely	frndsly
front	frnt
frontally	frntlly
frostily	frstly
frothily	frthly
frowardly	frwrdly
frown	frwn
frowstily	frwstly
frowzly	frwzly
frozenly	frznly
fruit	frt
fruitfully	frtflly
frumpily	frmply
frustration	frstrtn
fugaciously	fgcsly
fugally	fglly
fugitively	fgtvly
fulgently	flgntly
fuliginously	flgnsly
fulsomely	flsmly
function	fnctn
fundraising	fndrsng
funeral	fnrl
funereally	fnrlly
funnily	fnnly
funny	fnny
furcately	frctly
furiously	frsly
furnace	frnc
furniture	frntr
furtherly	frthrly
furtively	frtvly
fusarium	fsrm
fusibly	fsbly
fusilly	fslly
fustily	fstly
futilely	ftlly
futon	ftn
future	ftr
fuzzily	fzzly
gaddingly	gddngly
gadfly	gdfly
gaffer	gffr
gainfully	gnflly
gainly	gnly
gaiters	gtrs
gale	gl
gallantly	gllntly
gallery	gllry
gallfly	gllfly
galliardly	gllrdly
gallingly	gllngly
gallon	glln
galoshes	glshs
gamebird	gmbrd
gamesomely	gmsmly
gametically	gmtclly
gamma-ray	gmm-ry
gamostely	gmstly
gander	gndr
gangly	gngly
gap	gp
gapingly	gpngly
garb	grb
garbage	grbg
garden	grdn
garlic	grlc
garrulously	grrlsly
garter	grtr
gasoline	gsln
gaspingly	gspngly
gastropod	gstrpd
gate	gt
gateway	gtwy
gather	gthr
gauchely	gchly
gauntlet	gntlt
gauzily	gzly
gawkily	gwkly
gawkishly	gwkshly
gazebo	gzb
gazelle	gzll
gazingly	gzngly
gear	gr
gearshift	grshft
geese	gs
gelidly	gldly
gem	gm
geminately	gmntly
gemmily	gmmly
gemsbok	gmsbk
gene	gn
general	gnrl
generally	gnrlly
generatively	gnrtvly
generically	gnrclly
generously	gnrsly
genetically	gntclly
genetics	gntcs
genially	gnlly
geniculately	gncltly
genitivally	gntvlly
genteelly	gntlly
gently	gntly
genuinely	gnnly
geodetically	gdtclly
geography	ggrphy
geologically	glgclly
geology	glgy
geomaly	gmly
geometry	gmtry
george	grg
geranium	grnm
gerbil	grbl
germanely	grmnly
germanly	grmnly
germinally	grmnlly
gerundially	grndlly
gerundively	grndvly
geyser	gysr
ghastily	ghstly
gherkin	ghrkn
ghost	ghst
ghostlily	ghstlly
ghoulishly	ghlshly
giants	gnts
gibbously	gbbsly
gibingly	gbngly
giddily	gddly
gift	gft
giftedly	gftdly
gigantism	ggntsm
giggly	gggly
gingerly	gngrly
ginseng	gnsng
giraffe	grff
girdingly	grdngly
girdle	grdl
girl	grl
girlfriend	grlfrnd
girlfully	grlflly
girlishly	grlshly
girls	grls
girly	grly
give	gv
glacially	glclly
gladfully	gldflly
gladiolus	gldls
gladsomely	gldsmly
glamorously	glmrsly
gland	glnd
glarily	glrly
glaringly	glrngly
glass	glss
glasses	glsss
glaucously	glcsly
glazily	glzly
gleamily	glmly
gleeishly	glshly
gleesomely	glsmly
glegly	glgly
glen	gln
glibly	glbly
glider	gldr
gliding	gldng
glidingly	gldngly
gloatingly	gltngly
globally	glblly
globosely	glbsly
globularly	glblrly
gloomfully	glmflly
gloomingly	glmngly
gloriously	glrsly
glossily	glssly
glossolaly	glsslly
glove	glv
